symbol,open,high,low,prev_close,ltp,change,change_percent,vol,value,wh52,wl52,day365chng,day30chng
NIFTY 50,"9,376.95","9,382.65","9,238.20","9,199.05","9,251.50",52.45,0.57,609053504,"3,07,43,15,59,091.59","12,430.50","7,511.10",-18.14,5.75
HINDUNILVR,"2,074.95","2,098.00","2,036.00","1,992.05","2,077.85",85.8,4.31,16100488,"33,20,56,46,451.20","2,614.30","1,659.05",22.64,-15.09
SUNPHARMA,460,471.4,454.05,452.2,470,17.8,3.94,13693935,"6,35,71,35,445.05",504.8,312,6.75,7.4
TECHM,526.9,538.6,519.2,516.35,535.25,18.9,3.66,6016245,"3,19,85,36,654.25",845.9,471.4,-33.77,-4.06
DRREDDY,"3,900.10","4,132.20","3,900.10","3,837.65","3,978.00",140.35,3.66,2003475,"8,00,49,04,397.25","4,132.20","2,351.20",37.35,8.17
NESTLEIND,"17,350.00","17,820.00","17,201.50","17,142.45","17,756.80",614.35,3.58,179200,"3,15,95,54,048.00","18,369.95","10,120.05",71.81,5.52
RELIANCE,"1,545.00","1,579.90","1,537.10","1,506.95","1,559.45",52.5,3.48,38522385,"60,11,84,19,254.85","1,617.55",875.65,24.3,31.01
ZEEL,152.85,158.75,148.1,147.35,151,3.65,2.48,30517485,"4,69,26,73,668.45",405.2,114,-57.91,5.24
BRITANNIA,"2,945.00","3,037.00","2,923.45","2,915.35","2,985.00",69.65,2.39,1102857,"3,29,36,38,316.22","3,583.75","2,100.00",12.06,7.89
ULTRACEMCO,"3,294.00","3,325.00","3,271.05","3,252.85","3,320.00",67.15,2.06,421623,"1,38,99,94,057.71","4,904.95","2,910.00",-26.18,1.52
KOTAKBANK,"1,222.00","1,242.95","1,211.05","1,199.80","1,223.15",23.35,1.95,3511244,"4,30,89,98,636.80","1,740.00","1,001.00",-12.13,2.51
INFY,672.25,680.9,668.5,664.95,676,11.05,1.66,8400376,"5,66,99,17,784.96",847,509.25,-6.5,6.74
HCLTECH,520.85,522.5,502.4,511.75,519,7.25,1.42,10120968,"5,21,21,97,310.32",623.5,375.25,-54.39,11.94
SHREECEM,"18,680.00","18,879.45","18,450.10","18,432.40","18,665.00",232.6,1.26,37689,"70,41,92,205.81","25,355.00","15,410.00",-3.03,16.61
BAJAJ-AUTO,"2,446.05","2,450.00","2,401.05","2,406.55","2,422.65",16.1,0.67,455836,"1,10,55,89,192.76","3,315.15","1,788.65",-18.9,7.91
ADANIPORTS,285.1,286.85,280.55,282.4,284.05,1.65,0.58,2594067,"73,70,00,375.37",430.6,203,-21.67,13.63
HDFCBANK,942,943.95,925.2,925,930,5,0.54,10403747,"9,70,09,73,890.15","1,305.50",738.75,-59.45,4.52
CIPLA,598,601.2,589.5,589.55,592.55,3,0.51,5051381,"2,99,98,13,120.66",632.65,355.3,6.12,15.44
INFRATEL,173,176.5,167.4,172.8,173.5,0.7,0.41,13660992,"2,35,25,59,432.32",296.5,120.05,-34.76,4.72
BHARTIARTL,540,545.8,528.3,528.05,529.65,1.6,0.3,13592563,"7,31,59,25,183.49",568.85,312.6,68.03,14.82
