date,series,open,high,low,prev_close,ltp ,close ,vwap ,wh52,wl52,vol,value,no_of_trades
08-May-20,EQ,460,471.4,454.05,452.2,470,469,464.23,504.8,312,13693935,"6,35,71,78,311.00",201306
07-May-20,EQ,462,465.7,450.2,454.4,453.55,452.2,458.72,504.8,312,11216370,"5,14,51,32,335.45",155891
06-May-20,EQ,459.6,463,448,456.3,456.5,454.4,454.95,504.8,312,10829910,"4,92,70,88,357.45",181109
04-May-20,EQ,464.45,474.5,458,464.45,466,465.45,469.54,504.8,312,16097081,"7,55,81,68,770.75",218018
30-Apr-20,EQ,484,485,458.4,477.65,466,464.45,468.37,504.8,312,18471937,"8,65,16,74,740.95",248711
29-Apr-20,EQ,476,484.95,473.15,473.95,478.8,477.65,478.43,504.8,312,10166501,"4,86,39,34,540.90",121573
28-Apr-20,EQ,495,495.4,470.3,489.9,475.1,473.95,479.06,504.8,312,12847952,"6,15,49,04,852.00",168690
27-Apr-20,EQ,491,504.8,487,485.55,489.75,489.9,495.76,504.8,312,19311559,"9,57,38,82,063.25",256613
24-Apr-20,EQ,476.95,497,473.55,477.45,485.5,485.55,488.13,497,312,23394286,"11,41,93,53,958.10",270856
23-Apr-20,EQ,476.95,487.85,474.35,474.35,478.5,477.45,481.09,490.7,312,13748836,"6,61,43,69,526.00",179350
22-Apr-20,EQ,474.95,482.4,469,473.15,475.5,474.35,476.47,490.7,312,13336594,"6,35,44,73,105.90",195298
21-Apr-20,EQ,467.85,490.7,464.25,473.4,470.35,473.15,479.92,490.7,312,30022318,"14,40,81,88,549.05",354530
20-Apr-20,EQ,457.35,475,450.55,457.1,474.85,473.4,466.27,488.5,312,17894276,"8,34,35,67,565.00",198808
17-Apr-20,EQ,476.95,476.95,448.45,463.7,457.3,457.1,459.57,488.5,312,19774595,"9,08,78,93,401.75",231383
16-Apr-20,EQ,450,467.6,449.2,449.2,466,463.7,459.59,488.5,312,16933112,"7,78,23,61,760.85",236715
15-Apr-20,EQ,474.9,488.5,444.1,462.35,450,449.2,469.39,488.5,312,32508977,"15,25,92,61,040.10",427523
13-Apr-20,EQ,462.95,477.9,443.1,454.45,463,462.35,464.72,477.9,312,30510404,"14,17,86,66,669.75",361403
09-Apr-20,EQ,454.4,473.9,443.4,436.7,452.45,454.45,460.9,479.9,312,31863686,"14,68,61,05,866.80",408412
08-Apr-20,EQ,419,448.75,413.15,417.35,437.5,436.7,436.03,479.9,312,27810987,"12,12,65,23,142.55",433126
07-Apr-20,EQ,398,422.85,388.3,375.95,415.55,417.35,407.17,479.9,312,29675452,"12,08,28,76,093.15",343700
03-Apr-20,EQ,343.95,389.8,340,343.55,376.45,375.95,369.67,484.25,312,28550650,"10,55,42,31,364.55",338973
01-Apr-20,EQ,353,355.25,338.4,352.3,344.35,343.55,344.57,484.25,312,6702259,"2,30,93,78,542.30",94680
31-Mar-20,EQ,340.1,355,328.25,332.7,353.25,352.3,343.95,484.25,312,9954246,"3,42,37,44,741.40",131072
30-Mar-20,EQ,321.65,344,312,338.25,332.55,332.7,334.25,484.25,312,11648309,"3,89,34,70,175.15",143583
